Date,Title,Incident Area,City,State,Latitude,Longitude,Fatalities,Injured,Race,Gender,"Latitude, Longitude"
10/1/2017,Las Vegas Strip mass shooting,Las Vegas Strip Concert outside Mandala Bay,Las Vegas, NV,36.181,-115.134,59,527,White,M,"(36.181, -115.134)"
4/29/2016,"Ferguson, MO Drive by",,Ferguson, Missouri,38.744,-90.305,0,4,Unknown,Unknown,"(38.744, -90.305)"
4/26/2016,"Forestville, Maryland Drive-by",in street,,,38.845,-76.875,1,4,Unknown,Unknown,"(38.845, -76.875)"
4/24/2016,"Halifax County, VA",crown,,,36.766,-78.928,0,6,Black American or African American,Male,"(36.766, -78.928)"
4/21/2016,Tire-Slashing revenge escalation,block party,,,39.29,-76.612,0,4,Black American or African American,Male,"(39.29, -76.612)"
4/19/2016,Chicago Rap video Shootout,in a park,,,41.878,-87.63,1,4,Unknown,Unknown,"(41.878, -87.63)"
4/19/2016,Texas family murder-suicide,Home,,,29.786,-95.824,4,0,White American or European American,Male,"(29.786, -95.824)"
4/19/2016,Alabama highway random shooting,along a highway ,,,34.162,-86.476,1,4,White American or European American,Male,"(34.162, -86.476)"
4/18/2016,Long Beach Street murder,at street corner,,,33.77,-118.194,0,3,Unknown,Unknown,"(33.77, -118.194)"
4/9/2016,"Albuquerque, NM House party shooting",at party,,,35.085,-106.606,0,4,White American or European American,Male,"(35.085, -106.606)"
4/9/2016,"Memphis, TN gas station shooting",at gas station,,,35.15,-90.049,0,4,Unknown,Unknown,"(35.15, -90.049)"
4/7/2016,Chicago Birthday Party Bus Shooting,south shore,,,41.878,-87.63,0,5,Unknown,Unknown,"(41.878, -87.63)"
4/1/2016,"Albuquerque, NM Family restaurant shooting",restaurant,,,35.085,-106.606,3,1,Asian American,Male,"(35.085, -106.606)"
3/31/2016,"Richmond, Virginia",bus station,Richmond, Virginia,37.541,-77.436,2,2,Black American or African American,Male,"(37.541, -77.436)"
3/26/2016,"Louisburg, North Carolina",,Louisburg, North Carolina,36.099,-78.301,3,0,Black American or African American,Male,"(36.099, -78.301)"
3/25/2016,"Lawrenceburg, Tennessee",in home,Lawrenceburg, Tennessee,35.242,-87.335,2,2,Unknown,Male,"(35.242, -87.335)"
3/25/2016,"Greenhill, AL Family murder-suicide",home in rural Alabama,,,34.759,-86.602,2,2,White American or European American,Male,"(34.759, -86.602)"
3/21/2016,"Sherman, Texas Family Murder-Suicide",,Sherman, Texas ,33.636,-96.609,4,0,Unknown,Male,"(33.636, -96.609)"
3/20/2016,"Louisville, KY Family Murder-Suicide",Home,Louisville, Kentucky,38.253,-85.758,4,0,White American or European American,Male,"(38.253, -85.758)"
3/19/2016,"Plantation, Florida",Home,Plantation, Florida,26.128,-80.233,1,4,Unknown,Unknown,"(26.128, -80.233)"
3/19/2016,Wetumpka Drive-by,"drive-by in Wetumpka, Alabama",Wetumpka, Alabama,32.544,-86.212,2,2,Black American or African American,Male,"(32.544, -86.212)"
3/15/2016,Atlanta Nightclub shooting,outside nightclub,,,33.749,-84.388,0,4,Unknown,Unknown,"(33.749, -84.388)"
3/13/2016,Florida Family celebration ends in shooting,,,,26.641,-81.872,0,4,Unknown,Unknown,"(26.641, -81.872)"
3/12/2016,"Elberton, Georgia murder-suicide",,,,34.111,-82.867,2,2,Unknown,Male,"(34.111, -82.867)"
3/11/2016,"Trenton, NJ sidewalk shooting","outside of an apartment complex in Trenton, NJ",,,40.217,-74.743,0,5,Unknown,Unknown,"(40.217, -74.743)"
3/11/2016,Detroit Drive-by,,,,42.331,-83.046,2,2,Unknown,Unknown,"(42.331, -83.046)"
3/9/2016,"Pittsburgh, Pennsylvania",backyard of a house,Pittsburgh, Pennsylvania,40.441,-79.996,6,3,Unknown,Male,"(40.441, -79.996)"
3/9/2016,Wilkinsburg BBQ cookout shootout,backyard of a house,,,40.442,-79.882,5,3,Unknown,Male,"(40.442, -79.882)"
3/7/2016,"Kansas City, Kansas",Home,Kansas City, Kansas,39.114,-94.627,5,0,Some other race,Male,"(39.114, -94.627)"
3/7/2016,"Lafayette, LA drive by",drive-by on MLK boulevard in Lafayette,,,30.224,-92.02,0,4,Unknown,Unknown,"(30.224, -92.02)"
3/7/2016,Kansas City Home Invasion,Home,,,39.114,-94.627,4,0,Some other race,Male,"(39.114, -94.627)"
3/6/2016,"Chelsea, MA empty apartment party shooting",apartment in Chelsea,Chelsea, Massachusetts,42.392,-71.033,1,6,Some other race,Male,"(42.392, -71.033)"
3/6/2016,"Roswell, GA Hookah shootout",,,,34.023,-84.362,0,4,Black American or African American,Male,"(34.023, -84.362)"
3/5/2016,Wichita Nightclub shooting,outside the club,,,37.687,-97.33,0,4,Unknown,Unknown,"(37.687, -97.33)"
2/28/2016,Detroit Strip Club Shootout,outside the club,,,42.331,-83.046,0,5,Black American or African American,Male,"(42.331, -83.046)"
2/28/2016,Riverside restaurant shooting,restaurant parking,,,33.997,-117.485,1,3,Some other race,Male,"(33.997, -117.485)"
2/27/2016,"Woodbridge, Virginia",outside the house,Woodbridge,  Virginia,38.67,-77.352,2,2,Black American or African American,Male,"(38.67, -77.352)"
2/26/2016,"Belfair, Washington",Home,Belfair, Washington,47.503,-122.931,5,0,White American or European American,Male,"(47.503, -122.931)"
2/25/2016,"Hesston, Kansas",,Hesston, Kansas,38.137,-97.427,4,14,Black American or African American,Male,"(38.137, -97.427)"
2/25/2016,"Belfair, WA Family murder-suicide",Home,,,47.451,-122.827,5,0,White American or European American,Male,"(47.451, -122.827)"
2/23/2016,Arizona Family Murder,Home,Glendale, Arizona,33.448,-112.074,5,0,White American or European American,Male,"(33.448, -112.074)"
2/21/2016,Missouri Highway shooting,interstate in Hazelwood,,,38.771,-90.371,1,3,Black American or African American,Male,"(38.771, -90.371)"
2/21/2016,Houston Drive-by,,,,29.76,-95.37,0,5,Unknown,Unknown,"(29.76, -95.37)"
2/20/2016,"Iuka, Mississippi",outside the house,Iuka, Mississippi,34.74,-88.138,2,3,White American or European American,Male,"(34.74, -88.138)"
2/20/2016,Florida Hookah Bar Shooting,hookah bar parking,,,27.951,-82.457,1,3,Unknown,Unknown,"(27.951, -82.457)"
2/20/2016,Kalamazoo Uber Driver Spree Killing,,,,42.292,-85.587,6,2,White American or European American,Male,"(42.292, -85.587)"
2/19/2016,"Vallejo, CA car shooting",,,,38.104,-122.257,2,2,Unknown,Unknown,"(38.104, -122.257)"
2/9/2016,Michigan school shooting,outside gym,,,43.201,-86.239,0,3,Black American or African American,Male,"(43.201, -86.239)"
2/7/2016,"Orlando, Florida",nightclub,Orlando, Florida,28.454,-81.465,2,10,Some other race,Male,"(28.454, -81.465)"
2/7/2016,Nightclub fight turns into shootout,nightclub,,,43.161,-77.611,1,7,Unknown,Unknown,"(43.161, -77.611)"
2/6/2016,"Tampa, FL Strip club shooting",strip club,,,27.951,-82.457,2,6,Unknown,Unknown,"(27.951, -82.457)"
2/6/2016,"Los Angeles, CA street shooting",,,,34.052,-118.244,1,3,Unknown,Unknown,"(34.052, -118.244)"
2/6/2016,Texas teen commits family murder suicide,,,,29.21,-99.786,4,0,White American or European American,Male,"(29.21, -99.786)"
1/31/2016,New Orleans gas station shoot-out,gas station,,,29.951,-90.072,0,3,Black American or African American,Male,"(29.951, -90.072)"
1/30/2016,"Glendale, AZ House Party shooting",Home,,,33.539,-112.186,3,5,Unknown,Male,"(33.539, -112.186)"
1/29/2016,"Caroline County, VA Family Murder Suicide",,,,38.045,-77.286,2,2,Unknown,Male,"(38.045, -77.286)"
1/27/2016,"Chesapeake, Virginia",Home,Chesapeake, Virginia,36.792,-76.329,6,0,White American or European American,Male,"(36.792, -76.329)"
1/25/2016,"Perris, CA Mexican restaurant shooting",restaurant,,,33.783,-117.229,1,4,Unknown,Male,"(33.783, -117.229)"
1/23/2016,Florida family murder,,,,30.754,-86.573,3,0,White American or European American,Male,"(30.754, -86.573)"
1/23/2016,Los Angeles Drive-by,outside of liquor store,,,34.052,-118.244,2,2,Unknown,Unknown,"(34.052, -118.244)"
1/17/2016,"Gloucester County, VA, House Party",Home,,,37.403,-76.459,1,3,Black American or African American,Male,"(37.403, -76.459)"
1/11/2016,"Wilmington, DE robbery",Home,,,39.739,-75.54,1,4,Black American or African American,Male,"(39.739, -75.54)"
1/7/2016,"Roadside in Memphis, Tennessee",,,,35.15,-90.049,1,3,Unknown,Unknown,"(35.15, -90.049)"
1/6/2016,"Residence in Lakeland, Florida",Home,,,28.039,-81.95,3,1,Black American or African American,Male,"(28.039, -81.95)"
12/6/2015,"Omaha, Nebraska",,Omaha, Nebraska,41.314,-96.081,2,3,Black American or African American,Male,"(41.314, -96.081)"
12/2/2015,"San Bernardino, California",conference room,San Bernardino, California,34.14,-117.294,16,21,Asian American,Male/Female,"(34.14, -117.294)"
11/23/2015,"Columbus, Ohio",Home,Columbus, Ohio,39.989,-82.989,4,1,White American or European American,Male,"(39.989, -82.989)"
11/23/2015,"Minneapolis, Minnesota",Black Lives Matter encampment,Minneapolis, Minnesota,44.964,-93.268,0,5,White American or European American,Male,"(44.964, -93.268)"
11/15/2015,"Tennessee Colony, Texas",private campsite,Tennessee Colony, Texas,31.808,-95.807,6,0,White American or European American,Male,"(31.808, -95.807)"
11/13/2015,"Jacksonville, Florida",Home,Jacksonville, Florida,30.332,-81.676,4,1,Black American or African American,Male,"(30.332, -81.676)"
11/7/2015,"Waycross, GA",,Waycross, Georgia,31.211,-82.358,1,2,Black American or African American,Male,"(31.211, -82.358)"
11/4/2015,"Oakland, Maine",Home,Oakland, Maine,44.55,-69.708,4,0,Unknown,Male,"(44.55, -69.708)"
10/31/2015,Colorado Springs,sidewalk,Colorado Springs, Colorado,38.867,-104.757,4,0,White American or European American,Male,"(38.867, -104.757)"
10/21/2015,"Colerain Township, Ohio",Colerain Township,Colerain Township, Ohio,39.253,-84.6,2,1,White American or European American,Male,"(39.253, -84.6)"
10/9/2015,Northern Arizona University at Flagstaff Campus,Northern Arizona University,Flagstaff, Arizona,35.173,-111.659,1,3,White American or European American,Male,"(35.173, -111.659)"
10/1/2015,Umpqua Community College,Community College Classroom,Roseburg, Oregon,43.222,-123.352,10,7,Two or more races,Male,"(43.222, -123.352)"
10/1/2015,"Inglis, Florida",,Inglis, Florida,29.033,-82.659,3,1,White American or European American,Male,"(29.033, -82.659)"
9/27/2015,Hill Haven Event Center (Formerly Club CJ's),Club,Greenville, Georgia,33.029,-84.714,0,10,Black American or African American,Male,"(33.029, -84.714)"
9/17/2015,"Platte, South Dakota",Home,Platte, South Dakota,43.387,-98.844,6,0,White American or European American,Male,"(43.387, -98.844)"
9/10/2015,"Clearbrook (Greenwood), Minnesota",Home,Clearbrook (Greenwood), Minnesota,47.696,-95.428,5,0,White American or European American,Male,"(47.696, -95.428)"
8/29/2015,"Bristol, Tennessee",,Bristol, Tennessee,36.556,-82.214,3,1,White American or European American,Male,"(36.556, -82.214)"
8/26/2015,Virginia WDBJ live TV interview shooting,Outdoor Shopping Mall,Roanoke, Virginia,37.278,-79.958,3,1,Black American or African American,Male,"(37.278, -79.958)"
8/19/2015,Parking lot near Boys and Girls Club,Genesee Street,Rochester, New York,43.17,-77.614,3,4,Black American or African American,Male,"(43.17, -77.614)"
8/8/2015,"Houston, Texas",Home,Houston, Texas,29.797,-95.368,8,0,Black American or African American,Male,"(29.797, -95.368)"
7/23/2015,"Grand 16 Theatre, Louisiana",Movie Theatre,Lafayette, Louisiana,30.212,-92.032,3,9,White American or European American,Male,"(30.212, -92.032)"
7/22/2015,Suwanee,Home,Suwanee, Georgia,34.051,-84.069,4,1,White American or European American,Male,"(34.051, -84.069)"
7/16/2015,"Amnicola Training Center, Chattanooga",military facilities,Chattanooga, Tennessee,35.093,-85.237,5,3,White American or European American,Male,"(35.093, -85.237)"
7/12/2015,River Forest,river forest,River Forest, Illinois,41.895,-87.819,2,3,Unknown,Male,"(41.895, -87.819)"
6/20/2015,Boom Boom Room,Club,Morven, North Carolina,34.864,-80.0,0,4,Black American or African American/Unknown,Male,"(34.864, -80.0)"
6/17/2015,Charleston Church Shooting,Church,Charleston, South Carolina,32.788,-79.933,9,1,White,Male,"(32.788, -79.933)"
6/16/2015,Miami Gardens,birthday party,Miami Gardens, Florida,25.943,-80.243,0,4,Black American or African American,Male,"(25.943, -80.243)"
6/7/2015,Deer Lodge,,Deer Lodge, Montana,46.398,-112.733,5,0,White American or European American,Male,"(46.398, -112.733)"
5/31/2015,Cleveland,Home,Cleveland, Ohio,41.477,-81.681,3,1,Unknown,Male,"(41.477, -81.681)"
5/31/2015,Conyers,liquor store,Conyers, Georgia,33.661,-84.027,3,2,White American or European American,Male,"(33.661, -84.027)"
5/25/2015,Club Maxey's,Club,Decatur, Illinois,39.856,-88.933,1,4,Black American or African American,Male,"(39.856, -88.933)"
5/12/2015,Tucson,,Tucson, Arizona,32.154,-110.968,5,0,Unknown,Male,"(32.154, -110.968)"
5/10/2015,Annual motorcycle event in Newark,opening of motorcycle season,Newark, New Jersey,40.732,-74.184,1,3,Black American or African American,Male,"(40.732, -74.184)"
5/3/2015,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,bridge,Menasha, Wisconsin,44.205,-88.448,4,1,Unknown,Male,"(44.205, -88.448)"
5/1/2015,Milwaukee,street,Milwaukee, Wisconsin,43.064,-87.967,2,3,Unknown,Male,"(43.064, -87.967)"
