LEGISLATOR GOVTRACK ID,FIRST NAME,LAST NAME,GENDER,CONGRESSIONAL BRANCH,TERM START DATE,TERM END DATE,STATE,POLITICAL PARTY,STATE DISTRICT,TERM START YEAR,TERM END YEAR,CONGRESSIONAL DISTRICT
B000944,Sherrod,Brown,M,rep,1993-01-05,2025-01-03,OH,Democrat,13,1993,2025,OH13
C000127,Maria,Cantwell,F,rep,1993-01-05,2025-01-03,WA,Democrat,1,1993,2025,WA1
C000141,Benjamin,Cardin,M,rep,1987-01-06,2025-01-03,MD,Democrat,3,1987,2025,MD3
C000174,Thomas,Carper,M,rep,1983-01-03,2025-01-03,DE,Democrat,0,1983,2025,DE0
M000639,Robert,Menendez,M,rep,1993-01-05,2025-01-03,NJ,Democrat,13,1993,2025,NJ13
S000033,Bernard,Sanders,M,rep,1991-01-03,2025-01-03,VT,Independent,0,1991,2025,VT0
S000770,Debbie,Stabenow,F,rep,1997-01-07,2025-01-03,MI,Democrat,8,1997,2025,MI8
W000437,Roger,Wicker,M,rep,1995-01-04,2025-01-03,MS,Republican,1,1995,2025,MS1
D000563,Richard,Durbin,M,rep,1983-01-03,2021-01-03,IL,Democrat,20,1983,2021,IL20
G000359,Lindsey,Graham,M,rep,1995-01-04,2021-01-03,SC,Republican,3,1995,2021,SC3
I000024,James,Inhofe,M,rep,1987-01-06,2021-01-03,OK,Republican,1,1987,2021,OK1
R000122,John,Reed,M,rep,1991-01-03,2021-01-03,RI,Democrat,2,1991,2021,RI2
R000307,Pat,Roberts,M,rep,1981-01-05,2021-01-03,KS,Republican,1,1981,2021,KS1
U000039,Tom,Udall,M,rep,1999-01-06,2021-01-03,NM,Democrat,3,1999,2021,NM3
G000555,Kirsten,Gillibrand,F,rep,2007-01-04,2025-01-03,NY,Democrat,20,2007,2025,NY20
A000055,Robert,Aderholt,M,rep,1997-01-07,2021-01-03,AL,Republican,4,1997,2021,AL4
A000367,Justin,Amash,M,rep,2011-01-05,2021-01-03,MI,Republican,3,2011,2021,MI3
B001230,Tammy,Baldwin,F,rep,1999-01-06,2025-01-03,WI,Democrat,2,1999,2025,WI2
B001270,Karen,Bass,F,rep,2011-01-05,2021-01-03,CA,Democrat,33,2011,2021,CA33
B001257,Gus,Bilirakis,M,rep,2007-01-04,2021-01-03,FL,Republican,9,2007,2021,FL9
B001250,Rob,Bishop,M,rep,2003-01-07,2021-01-03,UT,Republican,1,2003,2021,UT1
B000490,Sanford,Bishop,M,rep,1993-01-05,2021-01-03,GA,Democrat,2,1993,2021,GA2
B001243,Marsha,Blackburn,F,rep,2003-01-07,2025-01-03,TN,Republican,7,2003,2025,TN7
B000574,Earl,Blumenauer,M,rep,1996-05-21,2021-01-03,OR,Democrat,3,1996,2021,OR3
B000575,Roy,Blunt,M,rep,1997-01-07,2023-01-03,MO,Republican,7,1997,2023,MO7
B001236,John,Boozman,M,rep,2001-11-29,2023-01-03,AR,Republican,3,2001,2023,AR3
B000755,Kevin,Brady,M,rep,1997-01-07,2021-01-03,TX,Republican,8,1997,2021,TX8
B001274,Mo,Brooks,M,rep,2011-01-05,2021-01-03,AL,Republican,5,2011,2021,AL5
B001260,Vern,Buchanan,M,rep,2007-01-04,2021-01-03,FL,Republican,13,2007,2021,FL13
B001275,Larry,Bucshon,M,rep,2011-01-05,2021-01-03,IN,Republican,8,2011,2021,IN8
B001248,Michael,Burgess,M,rep,2003-01-07,2021-01-03,TX,Republican,26,2003,2021,TX26
B001135,Richard,Burr,M,rep,1995-01-04,2023-01-03,NC,Republican,5,1995,2023,NC5
B001251,George,Butterfield,M,rep,2004-07-21,2021-01-03,NC,Democrat,1,2004,2021,NC1
C000059,Ken,Calvert,M,rep,1993-01-05,2021-01-03,CA,Republican,43,1993,2021,CA43
C001047,Shelley,Capito,F,rep,2001-01-03,2021-01-03,WV,Republican,2,2001,2021,WV2
C001072,André,Carson,M,rep,2008-03-13,2021-01-03,IN,Democrat,7,2008,2021,IN7
C001051,John,Carter,M,rep,2003-01-07,2021-01-03,TX,Republican,31,2003,2021,TX31
C001075,Bill,Cassidy,M,rep,2009-01-06,2021-01-03,LA,Republican,6,2009,2021,LA6
C001066,Kathy,Castor,F,rep,2007-01-04,2021-01-03,FL,Democrat,11,2007,2021,FL11
C000266,Steve,Chabot,M,rep,1995-01-04,2021-01-03,OH,Republican,1,1995,2021,OH1
C001080,Judy,Chu,F,rep,2009-07-16,2021-01-03,CA,Democrat,32,2009,2021,CA32
C001084,David,Cicilline,M,rep,2011-01-05,2021-01-03,RI,Democrat,1,2011,2021,RI1
C001067,Yvette,Clarke,F,rep,2007-01-04,2021-01-03,NY,Democrat,11,2007,2021,NY11
C001049,Wm.,Clay,M,rep,2001-01-03,2021-01-03,MO,Democrat,1,2001,2021,MO1
C001061,Emanuel,Cleaver,M,rep,2005-01-04,2021-01-03,MO,Democrat,5,2005,2021,MO5
C000537,James,Clyburn,M,rep,1993-01-05,2021-01-03,SC,Democrat,6,1993,2021,SC6
C001068,Steve,Cohen,M,rep,2007-01-04,2021-01-03,TN,Democrat,9,2007,2021,TN9
C001053,Tom,Cole,M,rep,2003-01-07,2021-01-03,OK,Republican,4,2003,2021,OK4
C001062,K.,Conaway,M,rep,2005-01-04,2021-01-03,TX,Republican,11,2005,2021,TX11
C001078,Gerald,Connolly,M,rep,2009-01-06,2021-01-03,VA,Democrat,11,2009,2021,VA11
C000754,Jim,Cooper,M,rep,1983-01-03,2021-01-03,TN,Democrat,4,1983,2021,TN4
C001059,Jim,Costa,M,rep,2005-01-04,2021-01-03,CA,Democrat,20,2005,2021,CA20
C001069,Joe,Courtney,M,rep,2007-01-04,2021-01-03,CT,Democrat,2,2007,2021,CT2
C000880,Michael,Crapo,M,rep,1993-01-05,2023-01-03,ID,Republican,2,1993,2023,ID2
C001087,Eric,Crawford,M,rep,2011-01-05,2021-01-03,AR,Republican,1,2011,2021,AR1
C001063,Henry,Cuellar,M,rep,2005-01-04,2021-01-03,TX,Democrat,28,2005,2021,TX28
D000096,Danny,Davis,M,rep,1997-01-07,2021-01-03,IL,Democrat,7,1997,2021,IL7
D000598,Susan,Davis,F,rep,2001-01-03,2021-01-03,CA,Democrat,49,2001,2021,CA49
D000191,Peter,DeFazio,M,rep,1987-01-06,2021-01-03,OR,Democrat,4,1987,2021,OR4
D000197,Diana,DeGette,F,rep,1997-01-07,2021-01-03,CO,Democrat,1,1997,2021,CO1
D000216,Rosa,DeLauro,F,rep,1991-01-03,2021-01-03,CT,Democrat,3,1991,2021,CT3
D000616,Scott,DesJarlais,M,rep,2011-01-05,2021-01-03,TN,Republican,4,2011,2021,TN4
D000610,Theodore,Deutch,M,rep,2010-04-15,2021-01-03,FL,Democrat,19,2010,2021,FL19
D000600,Mario,Diaz-Balart,M,rep,2003-01-07,2021-01-03,FL,Republican,25,2003,2021,FL25
D000399,Lloyd,Doggett,M,rep,1995-01-04,2021-01-03,TX,Democrat,10,1995,2021,TX10
D000482,Michael,Doyle,M,rep,1995-01-04,2021-01-03,PA,Democrat,18,1995,2021,PA18
D000615,Jeff,Duncan,M,rep,2011-01-05,2021-01-03,SC,Republican,3,2011,2021,SC3
E000179,Eliot,Engel,M,rep,1989-01-03,2021-01-03,NY,Democrat,19,1989,2021,NY19
E000215,Anna,Eshoo,F,rep,1993-01-05,2021-01-03,CA,Democrat,14,1993,2021,CA14
F000459,Charles,Fleischmann,M,rep,2011-01-05,2021-01-03,TN,Republican,3,2011,2021,TN3
F000461,Bill,Flores,M,rep,2011-01-05,2021-01-03,TX,Republican,17,2011,2021,TX17
F000449,Jeff,Fortenberry,M,rep,2005-01-04,2021-01-03,NE,Republican,1,2005,2021,NE1
F000450,Virginia,Foxx,F,rep,2005-01-04,2021-01-03,NC,Republican,5,2005,2021,NC5
F000455,Marcia,Fudge,F,rep,2008-11-19,2021-01-03,OH,Democrat,11,2008,2021,OH11
G000559,John,Garamendi,M,rep,2009-11-03,2021-01-03,CA,Democrat,10,2009,2021,CA10
G000562,Cory,Gardner,M,rep,2011-01-05,2021-01-03,CO,Republican,4,2011,2021,CO4
G000563,Bob,Gibbs,M,rep,2011-01-05,2021-01-03,OH,Republican,18,2011,2021,OH18
G000552,Louie,Gohmert,M,rep,2005-01-04,2021-01-03,TX,Republican,1,2005,2021,TX1
G000565,Paul,Gosar,M,rep,2011-01-05,2021-01-03,AZ,Republican,1,2011,2021,AZ1
G000377,Kay,Granger,F,rep,1997-01-07,2021-01-03,TX,Republican,12,1997,2021,TX12
G000386,Charles,Grassley,M,rep,1975-01-14,2023-01-03,IA,Republican,3,1975,2023,IA3
