LATITUDE,LONGITUDE,"LATITUDE, LONGITUDE",CITY,STATE,CONGRESSIONAL DISTRICT,MEDIAN AGE,MALE MEDIAN AGE,FEMALE MEDIAN AGE,MALE COUNT,MALE COUNT %,FEMALE COUNT,FEMALE COUNT %,TOTAL POPULATION COUNT,TOTAL NON HISPANIC COUNT,TOTAL NON HISPANIC COUNT %,WHITE POP. COUNT,WHITE POP. COUNT %,BLACK POP. COUNT,BLACK POP. COUNT %,AMERICAN INDIAN/ALASKAN NAT. POP. COUNT,AMERICAN INDIAN/ALASKAN NAT. POP. COUNT %,ASIAN POP. COUNT,ASIAN POP. COUNT %,NAT. HAWAIIAN/PAC. ISL. POP. COUNT,NAT. HAWAIIAN/PAC. ISL. POP. COUNT %,WHITE OTHER POP. COUNT,WHITE OTHER POP. COUNT %,HISPANIC/LATINO POP. COUNT,HISPANIC/LATINO POP. COUNT %,WHITE OTHER POP. COUNT MEMO1,WHITE OTHER POP. COUNT MEMO2,WHITE OTHER POP. COUNT MEMO3,WHITE OTHER POP. COUNT MEMO4,WHITE OTHER POP. COUNT MEMO5,WHITE OTHER POP. COUNT MEMO6,WHITE OTHER POP. COUNT MEMO7,WHITE OTHER POP. COUNT MEMO8
36.181,-115.134,"(36.181, -115.134)",Las Vegas,NV,NV1,53.3,54.5,45.0,1166.0,.7,487.0,0.295,1653.0,1504.0,0.91,747.0,0.49700000000000005,580.0,0.386,28.0,0.019,71.0,0.047,37.0,0.025,41.0,0.027000000000000003,149.0,0.1,0.0,0.0,41.0,0.027000000000000003,0.0,0.0,41.0,1.0
28.538,-81.379,"(28.538, -81.379)",Orlando,FL,FL10,34.2,34.0,36.4,1617.0,.5,1644.0,0.504,3261.0,2645.0,0.8109999999999999,2084.0,0.7879999999999999,160.0,0.06,0.0,0.0,275.0,0.10400000000000001,0.0,0.0,149.0,0.258,616.0,0.2,17.0,0.006,109.0,0.040999999999999995,23.0,0.21100000000000002,86.0,0.789
38.744,-90.305,"(38.744, -90.305)",Saint Louis,MO,MO1,31.1,35.1,24.7,787.0,.5,949.0,0.547,1736.0,1687.0,0.972,432.0,0.256,963.0,0.5710000000000001,6.0,0.004,84.0,0.05,0.0,0.0,202.0,0.12,49.0,0.0,128.0,0.076,74.0,0.044000000000000004,0.0,0.0,74.0,1.0
38.845,-76.875,"(38.845, -76.875)",District Heights,MD,MD4,36.1,34.4,40.3,748.0,.5,722.0,0.491,1470.0,1423.0,0.968,61.0,0.043,1262.0,0.887,0.0,0.0,62.0,0.044000000000000004,0.0,0.0,76.0,1.027,47.0,0.0,0.0,0.0,38.0,0.027000000000000003,38.0,1.0,0.0,0.0
36.766,-78.928,"(36.766, -78.928)",Halifax,VA,VA5,51.8,51.5,52.5,416.0,.5,434.0,0.511,850.0,694.0,0.816,435.0,0.627,259.0,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.29,-76.612,"(39.29, -76.612)",Baltimore,MD,MD7,27.9,28.5,27.7,1263.0,.6,883.0,0.41100000000000003,2146.0,2011.0,0.937,1389.0,0.691,96.0,0.048,0.0,0.0,360.0,0.179,58.0,0.028999999999999998,108.0,0.054000000000000006,135.0,0.1,108.0,0.054000000000000006,0.0,0.0,0.0,0.0,0.0,0.0
41.878,-87.63,"(41.878, -87.63)",Chicago,IL,IL7,28.4,29.4,26.7,2429.0,.5,2032.0,0.456,4461.0,3984.0,0.893,2506.0,0.629,435.0,0.109,0.0,0.0,971.0,0.244,0.0,0.0,72.0,0.018000000000000002,477.0,0.1,0.0,0.0,72.0,0.018000000000000002,0.0,0.0,72.0,1.0
29.786,-95.824,"(29.786, -95.824)",Katy,TX,TX22,33.7,35.1,33.3,27052.0,.5,28355.0,0.512,55407.0,42621.0,0.769,23209.0,0.545,4543.0,0.107,875.0,0.021,12946.0,0.304,0.0,0.0,1238.0,0.248,12786.0,0.2,197.0,0.005,851.0,0.02,190.0,0.223,661.0,0.777
34.162,-86.476,"(34.162, -86.476)",Blountsville,AL,AL6,41.3,22.5,45.7,460.0,.5,402.0,0.466,862.0,735.0,0.853,724.0,0.985,0.0,0.0,0.0,0.0,11.0,0.015,0.0,0.0,0.0,0.0,127.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.77,-118.194,"(33.77, -118.194)",Long Beach,CA,CA47,32.8,32.4,33.6,773.0,.6,609.0,0.441,1382.0,1073.0,0.7759999999999999,727.0,0.6779999999999999,83.0,0.077,0.0,0.0,138.0,0.129,0.0,0.0,125.0,0.11599999999999999,309.0,0.2,0.0,0.0,125.0,0.11599999999999999,0.0,0.0,125.0,1.0
